date,timestamp,LANE001A(16b4),LANE001B(1e98),LANE001C(15ee),LANE002A(1ea9),LANE002B(1dc4),LANE002C(154d),LANE003A(14b1),LANE003B(168b),LANE003C(1511),LANE004A(15f5),LANE004B(161e),LANE004C(16b9),LANE005A(14ed),LANE005B(13b3),LANE005C(149d),LANE006A(160a),LANE006B(16bf),LANE006C(1300),LANE007A(1de6),LANE007B(1e5b),LANE007C(1e80),LANE008A(1d7c),LANE008B(1db3),LANE008C(1e4f),LANE009A(1db6),LANE009B(1e34),LANE009C(1e39),LANE010A(1e9e),LANE010B(1db0),LANE010C(1dae),occ(%)
Mon Sep  5 15:47:01 2016,1473090421,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
Mon Sep  5 15:47:02 2016,1473090422,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17
Mon Sep  5 15:48:28 2016,1473090508,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,20
Mon Sep  5 15:48:33 2016,1473090513,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,23
Mon Sep  5 15:50:56 2016,1473090656,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,20
Mon Sep  5 15:50:58 2016,1473090658,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17
Mon Sep  5 15:57:11 2016,1473091031,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
Mon Sep  5 15:57:13 2016,1473091033,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mon Sep  5 16:10:01 2016,1473091801,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Mon Sep  5 16:10:25 2016,1473091825,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17
Mon Sep  5 16:14:02 2016,1473092042,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 16:14:09 2016,1473092049,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23
Mon Sep  5 16:14:47 2016,1473092087,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 16:14:48 2016,1473092088,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23
Mon Sep  5 16:18:59 2016,1473092339,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,33
Mon Sep  5 16:22:11 2016,1473092531,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,30
Mon Sep  5 16:22:14 2016,1473092534,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,27
Mon Sep  5 16:22:15 2016,1473092535,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,23
Mon Sep  5 16:24:42 2016,1473092682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,20
Mon Sep  5 16:24:44 2016,1473092684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,17
Mon Sep  5 16:27:38 2016,1473092858,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,20
Mon Sep  5 16:27:42 2016,1473092862,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,23
Mon Sep  5 16:27:51 2016,1473092871,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,27
Mon Sep  5 16:41:48 2016,1473093708,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,23
Mon Sep  5 16:42:19 2016,1473093739,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,27
Mon Sep  5 17:08:53 2016,1473095333,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,23
Mon Sep  5 17:08:54 2016,1473095334,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20
Mon Sep  5 17:08:58 2016,1473095338,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17
Mon Sep  5 17:10:47 2016,1473095447,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Mon Sep  5 17:10:51 2016,1473095451,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mon Sep  5 17:28:57 2016,1473096537,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Mon Sep  5 17:29:01 2016,1473096541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mon Sep  5 17:29:07 2016,1473096547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep  5 19:08:35 2016,1473102515,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Mon Sep  5 19:08:36 2016,1473102516,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mon Sep  5 19:46:45 2016,1473104805,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
Mon Sep  5 19:46:54 2016,1473104814,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,20
Mon Sep  5 19:50:59 2016,1473105059,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17
Mon Sep  5 19:51:00 2016,1473105060,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
