timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T19:42:21.645996,2017-12-29T19:48:58.050396,A0:E6:F8:2C:D0:F3,BB_SP_4.2,396.4044,0.0,204,0,396.4044
2017-12-29T19:15:20.653721,2017-12-29T19:46:48.356321,A0:E6:F8:2B:32:A5,BB_SP_1.2,1885.0482,2.6544,684,513,1887.7026
2017-12-29T18:28:02.538207,2017-12-29T19:42:53.337807,A0:E6:F8:2C:D0:F8,BB_SP_6.1,4490.7996,0.0,289,0,4490.7996
2017-12-29T17:28:29.383308,2017-12-29T19:38:52.780008,A0:E6:F8:2C:D0:F3,BB_SP_4.2,0.0,7823.3967,0,844,7823.3967
2017-12-29T17:33:28.558976,2017-12-29T19:39:56.390276,A0:E6:F8:2B:2F:BE,BB_SP_4.1,0.0,7587.8313,0,941,7587.8313
2017-12-29T19:11:00.482262,2017-12-29T19:15:00.925962,A0:E6:F8:2B:32:A5,BB_SP_1.2,240.4437,0.0,648,0,240.4437
2017-12-29T18:51:18.553114,2017-12-29T19:10:48.234214,A0:E6:F8:2B:2F:D0,BB_SP_2.1,0.0,1169.6811,0,807,1169.6811
2017-12-29T18:19:56.647462,2017-12-29T19:10:31.149562,A0:E6:F8:2B:32:A5,BB_SP_1.2,3033.8721,0.63,686,519,3034.5021
2017-12-29T18:41:52.761005,2017-12-29T18:47:51.722405,A0:E6:F8:2C:C4:55,BB_SP_3.2,1.932,357.0294,1105,1886,358.9614
2017-12-29T18:02:41.408417,2017-12-29T18:35:45.692117,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,1984.2837,0,391,1984.2837
2017-12-29T18:27:57.283906,2017-12-29T18:30:31.247506,A0:E6:F8:2C:C4:4D,BB_SP_6.2,0.2562,153.7074,367,851,153.9636
2017-12-29T17:15:35.731046,2017-12-29T18:19:07.735046,A0:E6:F8:2B:32:A5,BB_SP_1.2,3810.5886,1.4154,530,532,3812.004
2017-12-29T18:16:06.705753,2017-12-29T18:19:39.303453,A0:E6:F8:2C:D2:A5,BB_SP_1.1,0.0,212.5977,0,271,212.5977
2017-12-29T17:53:50.962358,2017-12-29T18:05:33.985658,A0:E6:F8:2C:D0:D5,BB_SP_5.2,696.7548,6.2685,1856,1756,703.0233
2017-12-29T18:02:22.230208,2017-12-29T18:05:29.953408,A0:E6:F8:2C:D2:9E,BB_SP_5.1,187.7232,0.0,680,0,187.7232
