textBox1,textBox5,textBox2,textBox6,textBox3,textBox7,textBox4,textBox8
Lot Event Id,15116,Space,005         ,Entered Timestamp,8/19/2016 2:05:46 PM,Exited Timestamp,8/19/2016 2:05:54 PM
Lot Event Id,15117,Space,005         ,Entered Timestamp,8/19/2016 2:15:48 PM,Exited Timestamp,8/19/2016 2:22:47 PM
Lot Event Id,15118,Space,004         ,Entered Timestamp,8/19/2016 2:25:30 PM,Exited Timestamp,8/19/2016 2:32:00 PM
Lot Event Id,15119,Space,005         ,Entered Timestamp,8/19/2016 2:35:08 PM,Exited Timestamp,8/19/2016 3:24:21 PM
Lot Event Id,15120,Space,002         ,Entered Timestamp,8/19/2016 2:36:01 PM,Exited Timestamp,8/19/2016 3:05:00 PM
Lot Event Id,15121,Space,008         ,Entered Timestamp,8/19/2016 2:46:53 PM,Exited Timestamp,8/19/2016 2:57:44 PM
Lot Event Id,15122,Space,008         ,Entered Timestamp,8/19/2016 3:03:57 PM,Exited Timestamp,8/19/2016 3:06:49 PM
Lot Event Id,15123,Space,002         ,Entered Timestamp,8/19/2016 3:05:18 PM,Exited Timestamp,8/19/2016 3:53:08 PM
Lot Event Id,15124,Space,003         ,Entered Timestamp,8/19/2016 3:06:15 PM,Exited Timestamp,8/19/2016 3:11:34 PM
Lot Event Id,15125,Space,001         ,Entered Timestamp,8/19/2016 3:06:33 PM,Exited Timestamp,8/19/2016 5:50:03 PM
Lot Event Id,15126,Space,008         ,Entered Timestamp,8/19/2016 3:07:08 PM,Exited Timestamp,8/19/2016 3:07:30 PM
Lot Event Id,15127,Space,003         ,Entered Timestamp,8/19/2016 3:17:56 PM,Exited Timestamp,8/19/2016 3:22:14 PM
Lot Event Id,15128,Space,007         ,Entered Timestamp,8/19/2016 3:20:55 PM,Exited Timestamp,8/19/2016 4:06:42 PM
Lot Event Id,15129,Space,004         ,Entered Timestamp,8/19/2016 3:29:00 PM,Exited Timestamp,8/19/2016 3:54:37 PM
Lot Event Id,15130,Space,003         ,Entered Timestamp,8/19/2016 3:30:19 PM,Exited Timestamp,8/19/2016 3:36:45 PM
Lot Event Id,15131,Space,005         ,Entered Timestamp,8/19/2016 3:36:45 PM,Exited Timestamp,8/19/2016 3:47:37 PM
Lot Event Id,15132,Space,003         ,Entered Timestamp,8/19/2016 3:45:05 PM,Exited Timestamp,8/19/2016 3:59:50 PM
Lot Event Id,15133,Space,004         ,Entered Timestamp,8/19/2016 3:54:35 PM,Exited Timestamp,8/19/2016 3:54:40 PM
Lot Event Id,15134,Space,005         ,Entered Timestamp,8/19/2016 3:58:49 PM,Exited Timestamp,8/19/2016 4:00:58 PM
Lot Event Id,15135,Space,006         ,Entered Timestamp,8/19/2016 4:00:04 PM,Exited Timestamp,8/19/2016 4:06:49 PM
Lot Event Id,15136,Space,004         ,Entered Timestamp,8/19/2016 4:01:40 PM,Exited Timestamp,8/19/2016 4:18:29 PM
Lot Event Id,15137,Space,003         ,Entered Timestamp,8/19/2016 4:03:44 PM,Exited Timestamp,8/19/2016 4:08:47 PM
Lot Event Id,15138,Space,008         ,Entered Timestamp,8/19/2016 4:12:51 PM,Exited Timestamp,8/19/2016 4:12:52 PM
Lot Event Id,15139,Space,002         ,Entered Timestamp,8/19/2016 4:13:09 PM,Exited Timestamp,8/19/2016 4:28:12 PM
Lot Event Id,15140,Space,008         ,Entered Timestamp,8/19/2016 4:14:48 PM,Exited Timestamp,8/19/2016 4:15:05 PM
Lot Event Id,15141,Space,008         ,Entered Timestamp,8/19/2016 4:15:09 PM,Exited Timestamp,8/19/2016 4:33:47 PM
Lot Event Id,15142,Space,004         ,Entered Timestamp,8/19/2016 4:18:28 PM,Exited Timestamp,8/19/2016 4:18:31 PM
Lot Event Id,15143,Space,006         ,Entered Timestamp,8/19/2016 4:18:53 PM,Exited Timestamp,8/19/2016 4:37:16 PM
Lot Event Id,15144,Space,004         ,Entered Timestamp,8/19/2016 4:21:55 PM,Exited Timestamp,8/19/2016 4:24:05 PM
Lot Event Id,15145,Space,004         ,Entered Timestamp,8/19/2016 4:28:24 PM,Exited Timestamp,8/19/2016 5:06:09 PM
Lot Event Id,15146,Space,003         ,Entered Timestamp,8/19/2016 4:32:59 PM,Exited Timestamp,8/19/2016 5:29:20 PM
Lot Event Id,15147,Space,008         ,Entered Timestamp,8/19/2016 4:43:39 PM,Exited Timestamp,8/19/2016 4:52:04 PM
Lot Event Id,15148,Space,006         ,Entered Timestamp,8/19/2016 4:53:18 PM,Exited Timestamp,8/19/2016 4:59:34 PM
Lot Event Id,15149,Space,006         ,Entered Timestamp,8/19/2016 5:09:26 PM,Exited Timestamp,8/19/2016 5:10:08 PM
Lot Event Id,15150,Space,004         ,Entered Timestamp,8/19/2016 5:20:26 PM,Exited Timestamp,8/19/2016 5:31:46 PM
Lot Event Id,15151,Space,007         ,Entered Timestamp,8/19/2016 5:21:57 PM,Exited Timestamp,8/19/2016 5:34:12 PM
Lot Event Id,15152,Space,006         ,Entered Timestamp,8/19/2016 5:23:52 PM,Exited Timestamp,8/19/2016 6:55:48 PM
Lot Event Id,15153,Space,004         ,Entered Timestamp,8/19/2016 5:32:32 PM,Exited Timestamp,8/19/2016 6:48:18 PM
Lot Event Id,15154,Space,003         ,Entered Timestamp,8/19/2016 5:42:42 PM,Exited Timestamp,8/19/2016 6:04:31 PM
Lot Event Id,15155,Space,002         ,Entered Timestamp,8/19/2016 5:45:11 PM,Exited Timestamp,8/19/2016 5:57:39 PM
Lot Event Id,15156,Space,005         ,Entered Timestamp,8/19/2016 5:46:51 PM,Exited Timestamp,8/20/2016 4:51:17 AM
Lot Event Id,15157,Space,002         ,Entered Timestamp,8/19/2016 5:58:23 PM,Exited Timestamp,8/19/2016 5:58:26 PM
Lot Event Id,15158,Space,002         ,Entered Timestamp,8/19/2016 5:58:30 PM,Exited Timestamp,8/19/2016 6:12:24 PM
Lot Event Id,15159,Space,002         ,Entered Timestamp,8/19/2016 6:12:27 PM,Exited Timestamp,8/19/2016 6:12:31 PM
Lot Event Id,15160,Space,008         ,Entered Timestamp,8/19/2016 6:16:23 PM,Exited Timestamp,8/19/2016 6:19:04 PM
Lot Event Id,15161,Space,004         ,Entered Timestamp,8/19/2016 6:48:17 PM,Exited Timestamp,8/19/2016 6:48:22 PM
Lot Event Id,15162,Space,002         ,Entered Timestamp,8/19/2016 7:04:41 PM,Exited Timestamp,8/19/2016 7:17:39 PM
Lot Event Id,15163,Space,002         ,Entered Timestamp,8/19/2016 8:07:10 PM,Exited Timestamp,8/19/2016 8:38:42 PM
Lot Event Id,15164,Space,008         ,Entered Timestamp,8/19/2016 8:12:58 PM,Exited Timestamp,8/19/2016 8:31:48 PM
Lot Event Id,15165,Space,007         ,Entered Timestamp,8/19/2016 8:32:38 PM,Exited Timestamp,8/20/2016 2:56:34 AM
Lot Event Id,15166,Space,001         ,Entered Timestamp,8/19/2016 8:33:07 PM,Exited Timestamp,8/19/2016 9:01:43 PM
Lot Event Id,15167,Space,003         ,Entered Timestamp,8/19/2016 8:43:36 PM,Exited Timestamp,8/19/2016 8:56:57 PM
Lot Event Id,15168,Space,002         ,Entered Timestamp,8/19/2016 8:53:34 PM,Exited Timestamp,8/19/2016 8:55:15 PM
Lot Event Id,15169,Space,003         ,Entered Timestamp,8/19/2016 8:57:00 PM,Exited Timestamp,8/19/2016 8:57:04 PM
Lot Event Id,15170,Space,001         ,Entered Timestamp,8/19/2016 9:09:21 PM,Exited Timestamp,8/19/2016 9:12:26 PM
Lot Event Id,15171,Space,002         ,Entered Timestamp,8/19/2016 9:18:02 PM,Exited Timestamp,8/19/2016 9:27:27 PM
Lot Event Id,15172,Space,002         ,Entered Timestamp,8/19/2016 9:28:51 PM,Exited Timestamp,8/19/2016 9:35:44 PM
Lot Event Id,15173,Space,003         ,Entered Timestamp,8/19/2016 9:57:55 PM,Exited Timestamp,8/19/2016 10:45:54 PM
Lot Event Id,15174,Space,002         ,Entered Timestamp,8/19/2016 10:15:22 PM,Exited Timestamp,8/19/2016 10:15:30 PM
Lot Event Id,15175,Space,002         ,Entered Timestamp,8/19/2016 10:15:40 PM,Exited Timestamp,8/19/2016 10:20:57 PM
Lot Event Id,15176,Space,002         ,Entered Timestamp,8/19/2016 10:21:35 PM,Exited Timestamp,8/19/2016 10:35:01 PM
Lot Event Id,15177,Space,002         ,Entered Timestamp,8/19/2016 10:35:11 PM,Exited Timestamp,8/19/2016 11:39:16 PM
Lot Event Id,15178,Space,001         ,Entered Timestamp,8/19/2016 10:46:17 PM,Exited Timestamp,8/19/2016 11:09:06 PM
Lot Event Id,15179,Space,004         ,Entered Timestamp,8/19/2016 10:48:24 PM,Exited Timestamp,8/19/2016 10:48:27 PM
Lot Event Id,15180,Space,004         ,Entered Timestamp,8/19/2016 10:48:28 PM,Exited Timestamp,8/20/2016 8:38:06 AM
Lot Event Id,15181,Space,001         ,Entered Timestamp,8/19/2016 11:16:08 PM,Exited Timestamp,8/20/2016 9:16:01 AM
Lot Event Id,15182,Space,008         ,Entered Timestamp,8/19/2016 11:30:26 PM,Exited Timestamp,8/20/2016 2:51:04 AM
Lot Event Id,15183,Space,002         ,Entered Timestamp,8/19/2016 11:39:28 PM,Exited Timestamp,8/20/2016 12:11:30 AM
Lot Event Id,15184,Space,003         ,Entered Timestamp,8/19/2016 11:42:19 PM,Exited Timestamp,8/19/2016 11:42:21 PM
Lot Event Id,15185,Space,003         ,Entered Timestamp,8/19/2016 11:44:43 PM,Exited Timestamp,8/19/2016 11:44:52 PM
